# N, Error in p, Error in dp/dx, Error in dp/dy
3, 2.42981740e-02, 9.55355291e-03, 1.77291974e-02
4, 6.01326218e-03, 2.38111162e-03, 4.39800028e-03
5, 1.49952089e-03, 5.94821948e-04, 1.09737191e-03
6, 3.74643606e-04, 1.48676972e-04, 2.74210210e-04
7, 9.36461216e-05, 3.71674605e-05, 6.85442581e-05
8, 2.34106063e-05, 9.29175320e-06, 1.71355457e-05
9, 5.85259635e-06, 2.32293384e-06, 4.28385653e-06
10, 1.46313950e-06, 5.80727051e-07, 1.07095613e-06
11, 3.65824109e-07, 1.45221194e-07, 2.67778366e-07
12, 9.14302752e-08, 3.62795589e-08, 6.69188455e-08
