# N, Error in p, Error in dp/dx, Error in dp/dy
3, 5.30292875e-02, 2.61721530e-02, 2.61721530e-02
4, 1.29507467e-02, 6.45454280e-03, 6.45454280e-03
5, 3.21896444e-03, 1.60818908e-03, 1.60818908e-03
6, 8.03577679e-04, 4.01708155e-04, 4.01708155e-04
7, 2.00821810e-04, 1.00405864e-04, 1.00405864e-04
8, 5.02009158e-05, 2.51001428e-05, 2.51001428e-05
9, 1.25499460e-05, 6.27495355e-06, 6.27495355e-06
10, 3.13746774e-06, 1.56873218e-06, 1.56873218e-06
11, 7.84368270e-07, 3.92185166e-07, 3.92185166e-07
12, 1.96078116e-07, 9.80323886e-08, 9.80323886e-08
