# N, Error in p, Error in dp/dx, Error in dp/dy
3, 1.29507467e-02, 6.45454280e-03, 6.45454280e-03
4, 3.21896444e-03, 1.60818908e-03, 1.60818908e-03
5, 8.03577679e-04, 4.01708155e-04, 4.01708155e-04
6, 2.00821810e-04, 1.00405864e-04, 1.00405864e-04
7, 5.02009158e-05, 2.51001428e-05, 2.51001428e-05
8, 1.25499460e-05, 6.27495354e-06, 6.27495354e-06
9, 3.13746775e-06, 1.56873219e-06, 1.56873219e-06
10, 7.84368596e-07, 3.92185492e-07, 3.92185492e-07
11, 1.96078753e-07, 9.80330256e-08, 9.80330256e-08
12, 4.90365116e-08, 2.45250829e-08, 2.45250828e-08
