# N, Error in p, Error in dp/dx, Error in dp/dy
3, 4.47618509e-02, 1.81155744e-02, 3.80616377e-02
4, 1.09893149e-02, 4.50568995e-03, 9.36606344e-03
5, 2.73495483e-03, 1.12495661e-03, 2.33230977e-03
6, 6.82968394e-04, 2.81147300e-04, 5.82504043e-04
7, 1.70694001e-04, 7.02810806e-05, 1.45590204e-04
8, 4.26704948e-05, 1.75699108e-05, 3.63953134e-05
9, 1.06674367e-05, 4.39245612e-06, 9.09868937e-06
10, 2.66684578e-06, 1.09811096e-06, 2.27466193e-06
11, 6.66714778e-07, 2.74531720e-07, 5.68669005e-07
12, 1.66656747e-07, 6.86110226e-08, 1.42145315e-07
