# Npower error_PP error_NN error_ND
3 0.026172152977030287 0.006454542799563732 0.014605090629238694
4 0.006454542799560933 0.0016081890839741405 0.003623522541129891
5 0.0016081890839681617 0.000401708154974085 0.000904161128523712
6 0.00040170815497416314 0.00010040586419385856 0.00022593304335097496
7 0.00010040586419388822 2.5100143050145856e-05 5.647656207033273e-05
8 2.510014305034506e-05 6.274952545290816e-06 1.4118721769964379e-05
9 6.274952545498909e-06 1.5687313112881764e-06 3.529655051499314e-06
10 1.568731311298994e-06 3.921871299372972e-07 8.824147366733947e-07
11 3.921871298936265e-07 9.80196422221481e-08 2.2061690274567048e-07
12 9.801964232799368e-08 2.4536809289225913e-08 5.5128441620979276e-08
