# Npower error_PP error_NN error_ND
3 0.026172152977011805 0.006454542799563874 0.01460509062923878
4 0.006454542799560072 0.001608189083974791 0.0036235225411308104
5 0.0016081890839747402 0.0004017081549635202 0.0009041611285200671
6 0.0004017081549677202 0.00010040586417353134 0.00022593304335420726
7 0.00010040586417760294 2.510014294309619e-05 5.647656200716567e-05
8 2.510014284843362e-05 6.274952912573958e-06 1.4118721880788252e-05
9 6.2749530710576175e-06 1.5687336544174547e-06 3.5296543076551794e-06
10 1.5687334061746836e-06 3.9218316489586323e-07 8.824119417402542e-07
11 3.9218270492229296e-07 9.804334878362691e-08 2.2060288327320492e-07
12 9.804639188381087e-08 2.45142993291362e-08 5.515071425808678e-08
